elapse,in,out,current,existing,creating,averageLatency
23514076312,5,11,0,20,0,2.8746171768407836
23613604251,12,10,0,20,0,2.8536632585883854
23713911190,11,11,0,20,0,2.834752339330027
23814242265,15,10,0,20,0,2.8096666963736965
23914521205,8,13,0,20,0,2.7964187217125405
24013911991,13,11,0,20,0,2.776030879854371
24113474634,16,12,0,20,0,2.750370983173079
24214481049,13,11,0,20,0,2.7789568974358994
24313390061,16,18,0,20,0,2.753590243354994
24415082337,6,17,0,20,0,2.7443086203649236
24514638734,10,6,0,20,0,2.7286103153891195
24614681348,9,10,0,20,0,2.7147549057043103
24714166547,10,8,0,20,0,2.699589306134262
24813690685,4,11,0,20,0,2.6935615513856837
24914092684,11,3,0,20,0,2.6769892185886435
25014045319,9,11,0,20,0,2.6641266250000033
25114070156,8,10,0,20,0,2.6523237369318218
25213696384,11,9,0,20,0,2.6366880909090953
25314456767,6,10,0,20,0,2.6280176567248215
25413474561,12,5,0,20,0,2.611466812744554
25513666778,11,14,0,20,0,2.5962280477777813
25614496370,6,10,0,20,0,2.587854498892584
25714115865,12,6,0,20,0,2.571118404290433
25813945564,10,9,0,20,0,2.557576663566743
25914699748,12,11,0,20,0,2.5417084592391337
26013362070,10,12,0,20,0,2.528564220540544
26114016445,7,12,0,20,0,2.519231736133552
26213561967,6,6,0,20,0,2.51143590177134
26314298285,9,7,0,20,0,2.499637557692311
26414375328,9,10,0,20,0,2.4878943290802797
26513940671,8,9,0,20,0,2.477650411858129
26613480871,6,8,0,20,0,2.469989049604225
26713687168,6,6,0,20,0,2.4629850263019497
26814263934,8,6,0,20,0,2.45353011681509
26912966977,9,8,0,20,0,2.4424603905109517
27013694518,13,6,0,20,0,2.4263467509062693
27114590580,15,14,0,20,0,2.4081968525179884
27213868415,10,15,0,20,0,2.396351502044993
27314137413,6,10,0,20,0,2.3906477482161086
27413676393,14,8,0,20,0,2.374402674595144
27513672232,12,12,0,20,0,2.3609837686116717
27614123675,9,12,0,18,0,2.3508247210816244
27713618388,15,9,4,12,0,2.3382058331673323
27814609241,6,13,0,12,0,2.525241745787911
27913565681,10,7,1,12,4,2.576284375925013
28013542393,8,8,1,12,7,2.6229016432432437
28114379328,8,11,0,12,7,2.6267800988258316
28213583565,11,10,0,16,3,2.6131466608272502
28314602913,13,7,0,19,0,2.5972367127659566
28413054118,9,16,0,19,0,2.5883383004333167
28513466302,11,9,0,19,0,2.5749823199233712
28613971190,8,12,0,19,0,2.5654161755725187
28714537482,9,5,0,19,0,2.5549034888361044
28814592116,9,11,0,19,0,2.5452141840113534
28913443136,8,9,0,19,0,2.5362535070688033
29013689262,5,8,0,19,0,2.5306817414198406
29114471918,9,6,0,19,0,2.520241500000001
29213838884,13,6,0,19,0,2.5054533550488616
29313440609,14,15,0,19,0,2.489881444290339
29413832917,15,14,0,19,0,2.4783898232323254
29513957078,11,14,0,19,0,2.4670574097761557
29613034511,10,10,0,19,0,2.456229398817647
29713746936,8,11,0,19,0,2.44780269007703
29814138935,14,7,0,19,0,2.4333788622242256
29913819149,5,15,0,19,0,2.428032796046723
30013477005,10,7,0,19,0,2.4178703618068007
30114932323,2,6,0,19,0,2.415766641644328
30213208421,8,5,0,19,0,2.407447988869104
30314480797,10,9,0,19,0,2.3971653656914924
30414585401,12,9,0,19,0,2.384851693121696
30515453846,7,11,0,19,0,2.377671191648354
30613515501,7,8,0,19,0,2.3705267861525
30713884540,13,7,0,19,0,2.357792417864925
30813764915,7,13,0,19,0,2.3508852397914874
30913765135,9,8,0,19,0,2.3420193470359165
31014487240,11,7,0,19,0,2.331770925064602
31113939867,6,13,0,19,0,2.3258824501718234
31213740948,7,5,0,19,0,2.3192303635974327
31313803439,8,7,0,19,0,2.3116162023047404
31413557686,9,8,0,19,0,2.30296010671769
31513865023,10,9,0,19,0,2.293349540220155
31613972626,9,7,0,19,0,2.285081142134123
31714822843,8,11,0,19,0,2.277689489281213
31813959344,9,7,0,19,0,2.26987148073702
31913935435,5,11,0,19,0,2.265242195988301
32014174313,8,6,0,19,0,2.2583077996668073
32113335244,10,8,0,19,0,2.2492574686851947
32214077561,6,8,0,19,0,2.244006408771206
32313584217,7,7,0,19,0,2.238060332920794
32413609241,6,7,0,19,0,2.232739234567903
32514127943,8,5,0,19,0,2.225847251025432
32613972772,7,8,0,19,0,2.219744475664623
32713826517,7,8,0,19,0,2.213857161500817
32814324851,6,8,0,19,0,2.208578850691621
32914286358,3,5,0,19,0,2.205908344981716
33014832363,4,3,0,19,0,2.202455035294119
33113164847,2,5,0,19,0,2.2007472087555744
33213626514,6,1,0,19,0,2.1955403263243034
33313594060,6,6,0,17,0,2.1907997252924574
33415034127,4,7,0,17,0,2.187451423278293
33514058966,0,3,0,17,0,2.187451423278293
33614234985,5,1,0,17,0,2.18328365273312
33713962779,4,4,0,16,0,2.179886003210274
33814306417,3,5,0,16,0,2.177374379158318
33914816369,3,3,0,15,0,2.174805126501202
34013609042,1,2,0,13,0,2.1742910168067238
34113420738,6,2,0,12,0,2.169646773652696
34214515022,1,5,0,12,0,2.1688034277733452
34314183763,1,1,0,12,0,2.1679633214998018
34413918239,2,2,0,12,0,2.1663058058987654
34514443296,3,2,0,12,0,2.1637687671178356
34613609143,1,2,0,12,0,2.162952650218863
34714002608,1,2,0,12,0,2.162139448687352
34813923743,0,0,0,12,0,2.162139448687352
34913671396,0,1,0,12,0,2.162139448687352
35014328726,1,0,0,12,0,2.1615408083499017
35113841392,0,1,0,10,0,2.1615408083499017
35214628301,0,0,0,10,0,2.1615408083499017
35313213264,0,0,0,4,0,2.1615408083499017
35414447602,0,0,0,4,0,2.1615408083499017
35514022533,0,0,0,4,2,2.1615408083499017
35613437089,0,0,0,4,3,2.1615408083499017
35714170476,0,0,0,4,3,2.1615408083499017
35814018641,0,0,0,6,1,2.1615408083499017
35912947559,0,0,0,7,0,2.1615408083499017
36014228032,0,0,0,7,0,2.1615408083499017
36114280155,0,0,0,7,0,2.1615408083499017
36214070705,0,0,0,7,0,2.1615408083499017
36313519448,0,0,0,7,0,2.1615408083499017
36413731233,0,0,0,7,0,2.1615408083499017
